#Rev: sensefly/geoinfo/3
fileName	latitude	longitude	altitude_wgs84
DSC04095.JPG	24.3308530777	124.0915437694	175.8931732178	
DSC04096.JPG	24.3304806852	124.0913290980	179.2914886475	
DSC04097.JPG	24.3300877486	124.0911493710	178.2768402100	
DSC04098.JPG	24.3297048849	124.0909534305	177.2804412842	
DSC04099.JPG	24.3293158063	124.0907644371	177.7949829102	
DSC04100.JPG	24.3289352097	124.0906135944	178.6963348389	
DSC04101.JPG	24.3285882247	124.0904417569	176.3529663086	
DSC04102.JPG	24.3282015577	124.0902594133	175.2552642822	
DSC04103.JPG	24.3278313538	124.0901103792	176.7347259521	
DSC04104.JPG	24.3274681099	124.0899002901	178.2045593262	
DSC04105.JPG	24.3270744475	124.0897229270	176.9570922852	
DSC04106.JPG	24.3266909981	124.0895572843	182.2956695557	
DSC04107.JPG	24.3263267844	124.0893494435	178.9959259033	
DSC04108.JPG	24.3259464956	124.0891780260	177.9576110840	
DSC04109.JPG	24.3255667222	124.0890115959	176.5724639893	
DSC04110.JPG	24.3251858440	124.0888082150	176.3569183350	
DSC04111.JPG	24.3248028476	124.0886452443	177.0113983154	
DSC04112.JPG	24.3244294573	124.0884519403	175.6594390869	
DSC04113.JPG	24.3240511112	124.0882777671	175.6664733887	
DSC04114.JPG	24.3236686549	124.0880908248	177.6342620850	
DSC04115.JPG	24.3232816182	124.0878937433	177.0456085205	
DSC04116.JPG	24.3228980266	124.0877004815	178.4139251709	
DSC04117.JPG	24.3225035175	124.0875396796	178.3792266846	
DSC04118.JPG	24.3232487514	124.0870198211	174.2449188232	
DSC04119.JPG	24.3238331689	124.0873021403	174.7468109131	
DSC04120.JPG	24.3244262039	124.0875600203	175.2351989746	
DSC04121.JPG	24.3250016077	124.0878545551	176.8984832764	
DSC04122.JPG	24.3255983150	124.0881355638	177.4153137207	
DSC04123.JPG	24.3261939049	124.0884181344	177.4547271729	
DSC04124.JPG	24.3267710772	124.0887015752	177.9465789795	
DSC04125.JPG	24.3273672225	124.0889785695	177.2597656250	
DSC04126.JPG	24.3279543297	124.0892674542	178.7284088135	
DSC04127.JPG	24.3285447514	124.0895466203	177.4059753418	
DSC04128.JPG	24.3291578996	124.0898336714	177.9791412354	
DSC04129.JPG	24.3297757898	124.0901365450	177.5110931396	
DSC04130.JPG	24.3303873234	124.0904208347	176.7600708008	
DSC04131.JPG	24.3309861773	124.0907146440	175.8103179932	
DSC04132.JPG	24.3314377618	124.0900899676	176.9067840576	
DSC04133.JPG	24.3310565461	124.0898764671	177.5796813965	
DSC04134.JPG	24.3306435671	124.0897091541	178.2128448486	
DSC04135.JPG	24.3302657616	124.0895058463	180.7369537354	
DSC04136.JPG	24.3298575565	124.0893510931	180.9367065430	
DSC04137.JPG	24.3294688772	124.0890945848	180.1332855225	
DSC04138.JPG	24.3290437322	124.0889469986	180.7321929932	
DSC04139.JPG	24.3286476892	124.0887328555	180.3123779297	
DSC04140.JPG	24.3282423717	124.0885521451	178.0207977295	
DSC04141.JPG	24.3278696647	124.0883308726	179.0024719238	
DSC04142.JPG	24.3274782355	124.0882049409	176.8754882812	
DSC04143.JPG	24.3270930003	124.0880012378	178.5086212158	
DSC04144.JPG	24.3267177761	124.0877967927	175.6184082031	
DSC04145.JPG	24.3263061778	124.0876467906	177.9912109375	
DSC04146.JPG	24.3259363552	124.0873899664	182.0758819580	
DSC04147.JPG	24.3255628532	124.0872490115	178.4827880859	
DSC04148.JPG	24.3251766737	124.0870606299	178.1726074219	
DSC04149.JPG	24.3247577664	124.0868991582	176.9471740723	
DSC04150.JPG	24.3243588512	124.0866986752	176.1002044678	
DSC04151.JPG	24.3239674338	124.0865122470	178.5415649414	
DSC04152.JPG	24.3235851553	124.0863123413	177.2365112305	
DSC04153.JPG	24.3231851575	124.0861317350	177.9862213135	
DSC04154.JPG	24.3237691971	124.0855400241	176.0005798340	
DSC04155.JPG	24.3243523087	124.0858121298	179.1943817139	
DSC04156.JPG	24.3249146204	124.0860953113	179.5574340820	
DSC04157.JPG	24.3255118120	124.0863558778	179.3873138428	
DSC04158.JPG	24.3260822238	124.0866413303	178.8128204346	
DSC04159.JPG	24.3266684372	124.0869157373	177.8031005859	
DSC04160.JPG	24.3272398692	124.0871923833	177.0015258789	
DSC04161.JPG	24.3278188904	124.0874573693	176.8304443359	
DSC04162.JPG	24.3283927652	124.0877377543	175.9760131836	
DSC04163.JPG	24.3289671385	124.0880147569	175.9683532715	
DSC04164.JPG	24.3295487456	124.0882908859	176.1561584473	
DSC04165.JPG	24.3301328620	124.0885755733	176.4062194824	
DSC04166.JPG	24.3307266360	124.0888503487	175.9938659668	
DSC04167.JPG	24.3313134838	124.0891358214	176.1596679688	
DSC04168.JPG	24.3319202871	124.0894289855	176.0062103271	
DSC04169.JPG	24.3320147822	124.0886101076	178.7118377686	
DSC04170.JPG	24.3316192405	124.0884318582	177.4802398682	
DSC04171.JPG	24.3312180999	124.0882465801	176.8210906982	
DSC04172.JPG	24.3308284549	124.0880701587	179.0274047852	
DSC04173.JPG	24.3304339410	124.0878708624	176.0428314209	
DSC04174.JPG	24.3300285107	124.0876730035	176.6252899170	
DSC04175.JPG	24.3296450612	124.0874661171	177.7508239746	
DSC04176.JPG	24.3292519290	124.0873105760	177.7826843262	
DSC04177.JPG	24.3288667410	124.0871214129	179.1415557861	
DSC04178.JPG	24.3284889833	124.0869174550	175.9523162842	
DSC04179.JPG	24.3280828142	124.0867602115	178.5124206543	
DSC04180.JPG	24.3277102365	124.0865383488	177.7075958252	
DSC04181.JPG	24.3273216526	124.0863928461	179.7928009033	
DSC04182.JPG	24.3269351288	124.0861608797	176.6146392822	
DSC04183.JPG	24.3265400162	124.0859975926	176.2989501953	
DSC04184.JPG	24.3261437355	124.0857829514	176.1147155762	
DSC04185.JPG	24.3257312866	124.0856357552	178.4854431152	
DSC04186.JPG	24.3253500431	124.0854172180	177.7894287109	
DSC04187.JPG	24.3249645111	124.0852461533	177.9056243896	
DSC04188.JPG	24.3245792072	124.0850798474	178.2255249023	
DSC04189.JPG	24.3242026716	124.0848802922	177.6337127686	
DSC04190.JPG	24.3238171073	124.0847002618	177.5062866211	
DSC04191.JPG	24.3243802450	124.0841111847	173.4000244141	
DSC04192.JPG	24.3249735791	124.0843905349	174.8416748047	
DSC04193.JPG	24.3255702844	124.0846695911	175.6134490967	
DSC04194.JPG	24.3261794178	124.0849495626	176.1739959717	
DSC04195.JPG	24.3267862357	124.0852398032	177.1549682617	
DSC04196.JPG	24.3273930255	124.0855406125	177.8648834229	
DSC04197.JPG	24.3279999141	124.0858264522	177.9369201660	
DSC04198.JPG	24.3286073114	124.0861076525	178.7729187012	
DSC04199.JPG	24.3292155556	124.0864069604	179.9641876221	
DSC04200.JPG	24.3298361919	124.0867073949	177.8208770752	
DSC04201.JPG	24.3304316048	124.0869861567	178.1977386475	
DSC04202.JPG	24.3310416839	124.0872723565	177.8857574463	
DSC04203.JPG	24.3316672925	124.0875756457	177.9806671143	
DSC04204.JPG	24.3322843266	124.0878649603	178.3045654297	
